"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"384_152.06_2.1",384,152.056724123281,2.1319492,"C5H2N4O"
"385_611.5_2.1",385,611.499697639841,2.1350791,"C35H63NO6"
"39_918.58_0.5",39,918.577501537765,0.49821144,NA
"394_192.82_2.1",394,192.821814247763,2.1482437,NA
"396_252.11_2.2",396,252.109113274438,2.1640906,"C10H18O2S2"
"398_139.05_2.2",398,139.050254601458,2.2083523,"C6H6N2O2"
"4_936.75_0.5",4,936.75007008502,0.46755576,"C55H98O10"
"403_536.37_2.2",403,536.371483848775,2.2265284,"C27H54NO7P"
"404_494.32_2.2",404,494.324346883664,2.2329402,"C24H48NO7P"
"408_622.37_2.2",408,622.371922723403,2.236283,"C30H56NO10P"
"409_206.07_2.2",409,206.067298294769,2.2475305,"C8H9N5O3"
"412_675.42_2.3",412,675.423520136755,2.2647529,"C37H64O8"
"413_710.46_2.3",413,710.460699986403,2.2627213,"C42H63NO8"
"415_522.36_2.3",415,522.355841919562,2.2665875,"C26H52NO7P"
"417_787.51_2.3",417,787.513897026195,2.2783961,"C42H76O14"
"421_613.52_2.3",421,613.515034881387,2.298743,"C35H65NO6"
"423_496.34_2.3",423,496.340185419998,2.3209763,"C24H50NO7P"
"425_655.53_2.4",425,655.526025991952,2.3513398,"C37H67NO7"
"426_733.47_2.4",426,733.465376975927,2.3564086,"C43H66O8"
"427_494.32_2.4",427,494.324350477972,2.3631253,"C26H40N2O6"
"428_609.48_2.4",428,609.483957305637,2.377498,"C38H66O4"
"431_627.49_2.4",431,627.494652541102,2.378653,"C36H59N5O3"
"438_864.59_2.4",438,864.586935866074,2.4228048,"C45H82O12S"
"440_838.57_2.5",440,838.571437441651,2.4527845,"C47H72N4O8"
"442_178.07_2.5",442,178.072328514695,2.467209,"C7H9N5O2"
"448_146.12_2.5",448,146.117531789686,2.4857972,"C7H15NO2"
"451_133.06_2.5",451,133.060967625245,2.5098367,"C4H5NO3"
"453_550.27_2.5",453,550.266406468498,2.5393016,"C29H32N4O6"
"454_137.06_2.5",454,137.064787589132,2.542448,NA
"455_798.51_2.5",455,798.508400300565,2.5424166,"C40H69N7O8"
"456_137.06_2.5",456,137.058745542312,2.5428808,"C6H3N2O"
"459_303.12_2.6",459,303.123285756094,2.5568502,"C10H15N5O3S"
"461_586.22_2.6",461,586.219464833997,2.607736,"C33H24N6O4"
"466_257.11_2.6",466,257.113155603361,2.6415515,"C11H13NO5"
"469_272.1_2.7",469,272.099978101098,2.6795943,"C9H15N5O6"
"472_159.03_2.7",472,159.027761633326,2.6949923,"C4H6BNO3S"
"475_137.05_2.7",475,137.045819042555,2.6970472,"C5H4N4O"
"476_138.04_2.7",476,138.042707888246,2.6970541,"C3H5ClN2O"
"477_138.05_2.7",477,138.048885048563,2.698066,"C3H5FN2S"
"479_178.07_2.7",479,178.072319276434,2.7058184,"C7H9N5O2"
"480_404.14_2.7",480,404.142597719756,2.7134209,"C15H17N9O5"
"483_268.1_2.7",483,268.10404174448,2.7219152,"C10H13N5O4"
"484_435.17_2.7",484,435.165723044816,2.7318864,"C21H24N4O5"
"485_718.26_2.7",485,718.261739555921,2.7426233,"C37H39N3O12"
"486_466.18_2.7",486,466.175588818409,2.747372,"C28H20N2O4"
"487_449.15_2.7",487,449.149115357178,2.7481906,"C21H17N7O2S"
"492_191.07_2.8",492,191.067624938232,2.7573314,"C7H3N5O"
"493_480.31_2.8",493,480.308614149733,2.7908213,"C23H46NO7P"
"495_631.12_2.8",495,631.123321017508,2.8003232,"C23H24N6O14"
"497_153.04_2.8",497,153.040709404702,2.8015249,"C5H6N4O3"
"499_178.07_2.8",499,178.072317587528,2.771815,"C7H9N5O2"
"502_303.12_2.8",502,303.123263132682,2.7967513,"C10H15N5O3S"
"503_466.29_2.8",503,466.292903546656,2.8355427,"C22H44NO7P"
"508_453.28_2.9",508,453.280539961674,2.87536,"C21H33N5O5"
"509_196.08_2.9",509,196.082939679915,2.872634,"C7H9N5O2"
"512_474.26_2.9",512,474.259223952509,2.8731349,"C21H42NO7P"
"513_452.28_2.9",513,452.277301055328,2.8750875,"C21H42NO7P"
"515_480.31_2.9",515,480.308578614819,2.9042928,"C26H34N6O2"
"517_149.07_2.9",517,149.070928045551,2.9470384,"C8H5NO"
"519_454.29_3",519,454.292952446617,2.9532733,"C21H44NO7P"
"523_511.3_3",523,511.303399114181,2.9583962,"C24H47O9P"
"524_339.29_3",524,339.289333995165,2.9570565,"C21H40O4"
"528_167.09_3",528,167.092829906816,2.9916062,"C7H7N3O"
"532_138.05_3",532,138.048991371863,3.0074534,"C5H6ClF"
"533_137.05_3",533,137.045800307056,3.0077279,"C5H4N4O"
"536_291.05_3",536,291.048942222755,3.0116744,"C10H12N4O4"
"537_275.08_3",537,275.07504327414,3.0099168,"C10H12N4O4"
"541_311.26_3",541,311.257911099606,3.0341265,"C19H36O4"
"542_164.06_3",542,164.05668048108,3.037851,"C6H2N4O"
"543_186.04_3",543,186.038658881294,3.0399745,"C6H5N5O"
"548_166.07_3.1",548,166.072408964965,3.0882156,NA
"570_314.09_3.4",570,314.09158812891,3.387841,"C11H15N5O4S"
"572_134.12_3.4",572,134.117623571525,3.3963385,"C6H12O2"
"580_415.21_3.6",580,415.21151369693,3.5783782,"C17H27N5O4S"
"581_432.24_3.6",581,432.23814952071,3.5844212,"C17H30N6O4S"
