	WT_vs_xthA1_fold_change_log2	WT_vs_xthA1_p_value	WT_vs_xthA2_fold_change_log2	WT_vs_xthA2_p_value	WT_vs_xthB1_fold_change_log2	WT_vs_xthB1_p_value	xthA1_vs_xthA2_fold_change_log2	xthA1_vs_xthA2_p_value	xthA1_vs_xthB1_fold_change_log2	xthA1_vs_xthB1_p_value	xthA2_vs_xthB1_fold_change_log2	xthA2_vs_xthB1_p_value
pentaethylene glycol	-0.108097086871254	0.866597832739571	-0.419504031347096	0.0805275689405404	-0.356033393941198	0.14514026876574	-0.311406944475841	0.270574308500065	-0.247936307069943	0.434273417480122	0.063470637405898	0.983458348393676
5S,6S-epoxy-15R-hydroxy-ETE	-0.245826470865514	0.739012131499751	-0.540702010022524	0.226256773032728	-0.123234107569642	0.948744546488679	-0.29487553915701	0.741803105581671	0.122592363295872	0.960083960262456	0.417467902452882	0.462805551331976
FMN	0.0948313429342572	0.923498117547419	-0.0300105007842642	0.997507049594438	-0.478398604455814	0.0970826523782689	-0.124841843718522	0.849176209948356	-0.573229947390071	0.0335461746033228	-0.448388103671549	0.13210269060556
(1-hydroxycyclohexyl)acetic acid	-0.170388110101609	0.847030008005021	-0.208022068396348	0.762959180936738	0.209970087310613	0.670969836003446	-0.0376339582947391	0.998246219874273	0.380358197412222	0.256604129541854	0.417992155706961	0.200358344265884
(1R,2R,3S,1'R)-Nepetalinic acid	-0.131609270502539	0.944348158791043	-0.015994425792574	0.999870994324823	0.310947903056404	0.455549828887013	0.115614844709965	0.961687673408617	0.442557173558942	0.216423243161034	0.326942328848977	0.418951312553916
(2E, 4E, 6E, 8E)-10-hydroxyundeca-2,4,6,8-tetraenoic acid	-0.175802810716662	0.934884754679375	-0.0523506012851701	0.997755152255671	0.161023706718387	0.929635210836735	0.123452209431492	0.97688070470153	0.336826517435049	0.646554650305212	0.213374308003557	0.860705240943249
5-aminolevulinic acid hexyl ester	-0.135620849432206	0.950930424396057	-0.195023602898139	0.878122850599831	0.104268930726209	0.970296518018684	-0.0594027534659327	0.99626298309755	0.239889780158415	0.770247196514394	0.299292533624348	0.648566190322098
PPG n4	-0.0388041533282274	0.996213127723592	-0.463351565670591	0.167206965122934	-0.0594813299395627	0.98702503091267	-0.424547412342364	0.232423424976809	-0.0206771766113353	0.999452803879333	0.403870235731028	0.273737130723242
Senkyunolide h	-0.254118470356607	0.768129009790109	-0.25061502888807	0.774675067906544	0.132152801559493	0.93719696374151	0.00350344146853635	0.999999298654838	0.3862712719161	0.441784597578387	0.382767830447563	0.448274975188392
D-altritol	0.12439303330834	0.93637117450784	0.0975678873788414	0.968321598044845	0.381079930916006	0.261050919484469	-0.0268251459294982	0.99918425588627	0.256686897607666	0.542061926923678	0.283512043537165	0.469839025811316
N-[1-(4-nitrophenyl)ethylideneamino]-2-(5-oxo-1,2-dihydropyrazol-3-yl)acetamide	0.0865144997159579	0.965432314318047	0.102906199897032	0.94322938497088	0.387102770553691	0.149489910910609	0.0163917001810741	0.999712292226227	0.300588270837733	0.299327066376337	0.284196570656659	0.338814272017801
2-deoxy-D-galactose	0.0766859149531224	0.983598734707457	0.10525820577036	0.958569135538242	0.26202903079117	0.577747889082136	0.0285722908172378	0.999005044036109	0.185343115838047	0.78103971428157	0.15677082502081	0.849290793260453
9-OxoOTrE	-0.22476468344463	0.780784672140784	-0.218461796691824	0.793623115521319	0.0437295024472656	0.996917276621318	0.00630288675280583	0.999994331691786	0.268494185891895	0.667981194347302	0.26219129913909	0.682196247785648
4-octenal	-0.030352937696263	0.999259918438033	-0.210973928659465	0.845226433265156	0.353507246526567	0.380616382748224	-0.180620990963202	0.898109695970178	0.38386018422283	0.322857540635173	0.564481175186032	0.113151357585604
