formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C18H35NO3	[M - H2O + H]+	C18H34NO2+	0.800	0.013	55.261	55.261	0.000	13	0.215	0.059	0.163	-60793.558		296.258	346	5.772	836961196130103794	836961019180799839	836961019180799838	488	
1	C16H35NO3	[M + H]+	C16H36NO3+	0.759	0.500	40.564	36.701	3.863	14	0.834	5.888	5.888	-0.174		290.269	348	5.795	836961199665902461	836961019252103015	836961019247908710	490	
1	C30H20O11	[M - H2O + H]+	C30H19O10+	0.464	0.477	7.612	4.442	3.170	0	0.000	0.710	0.710	-33408.102		539.098	348	5.806	836961206926243496	836961019285657451	836961019285657450	491	
1	C26H24N2O4	[M + Na]+	C26H24N2NaO4+	0.999	1.000	58.140	56.198	1.942	22	0.743	2.831	2.831	3.861		451.165	350	5.831	836961210894055514	836961019319211887	836961019319211886	492	
1	C17H37NO2	[M + H]+	C17H38NO2+	0.999	0.500	48.280	48.280	0.000	13	0.204	0.236	0.236	-0.055		288.290	350	5.834	836961196591477285	836961019386320759	836961019386320758	494	
1	C16H29N7O2	[M - H2O + H]+	C16H28N7O+	0.800	0.167	5.662	2.532	3.130	1	0.025	-0.904	1.362	-53885.572		334.235	350	5.834	836961200064361397	836961019424069499	836961019424069498	495	
1	C18H30O3	[M + H3N + H]+	C18H34NO3+	1.000	0.333	142.228	138.367	3.861	30	0.637	2.533	2.550	-0.514		312.253	350	5.834	836961213259643182	836961019495372675	836961019491178370	497	
1	C18H28O2	[M + H3N + H]+	C18H32NO2+	1.000	0.333	196.093	192.212	3.881	41	0.607	1.680	2.253	-0.087		294.243	350	5.835	836961214111086988	836961019457623935	836961019457623934	496	
1	C20H37NO3	[M + H3N + H]+	C20H41N2O3+	0.917	0.333	109.635	109.635	0.000	18	0.340	0.144	0.194	-0.125		357.311	350	5.835	836961214287247776	836961019352766323	836961019352766322	493	
1	CHN2O3S	[M + Na]+	CHN2NaO3S+	1.000	0.832	8.925	8.925	0.000	4	0.017	-6.694	7.127	-6.763		143.959	350	5.840	836961213746182504	836961019524732807	836961019524732806	498	
1	C10H22ClN2O4	[M - H2O + H]+	C10H21ClN2O3+	0.396	0.271	70.374	70.374	0.000	19	0.315	-2.110	2.800	-71437.611		252.123	350	5.840	836961218473163563	836961019558287243	836961019558287242	499	
1	C15H34ClN2O2	[M + Na]+	C15H34ClN2NaO2+	1.000	0.998	109.248	109.248	0.000	32	0.720	0.609	2.508	-1.932		332.219	351	5.845	836961204652930425	836961019591841679	836961019591841678	500	
1	C18H31NO3	[M - H2O + H]+	C18H30NO2+	0.979	0.333	72.648	72.648	0.000	14	0.236	0.227	0.293	-61632.356		292.227	351	5.846	836961225175662249	836961019625396115	836961019625396114	501	
1	C18H28O3	[M + H3N + H]+	C18H32NO3+	1.000	0.333	132.924	129.194	3.729	16	0.424	0.198	1.567	-0.484		310.238	351	5.848	836961221174295708	836961019663144855	836961019658950550	502	
1	C20H21N3O6S	[M + H3N + H]+	C20H25N4O6S+	0.966	0.157	129.420	129.420	0.000	25	0.470	-0.051	3.015	0.074		449.149	352	5.868	836961262806962521	836961019692504987	836961019692504986	503	
1	C16H35NO3	[M - H2O + H]+	C16H34NO2+	0.581	0.333	64.651	60.914	3.737	9	0.849	5.133	5.133	-66152.488		272.258	352	5.874	836961201251349584	836961019730253727	836961019730253726	504	
1	C19H39NO2	[M - H2O + H]+	C19H38NO+	0.944	0.333	52.603	52.603	0.000	11	0.306	0.217	0.221	-60786.076		296.295	354	5.894	836961227860017272	836961019763808163	836961019763808162	505	
1	C20H41NO3	[M - H2O + H]+	C20H40NO2+	0.842	0.333	67.034	67.034	0.000	18	0.293	0.339	0.339	-55194.981		326.305	354	5.895	836961211485452461	836961019797362599	836961019797362598	506	
1	C16H30O	[M - H2O + H]+	C16H29+	0.751	0.496	8.229	8.229	0.000	2	0.013	0.356	0.356	-81412.190		221.226	354	5.895	836961214698289641	836961019826722731	836961019826722730	507	
1	C18H35NO3	[M - H2O + H]+	C18H34NO2+	0.800	0.002	54.793	54.793	0.000	13	0.213	0.168	0.192	-60793.486		296.258	355	5.909	836961205462431233	836961019898025907	836961019898025906	509	
1	C20H39NO2	[M + H3N + H]+	C20H43N2O2+	0.983	0.333	54.499	48.138	6.361	13	0.840	6.220	6.220	-0.131		343.332	355	5.914	836961205680535061	836961019969329083	836961019969329082	511	
1	C20H42N2O2	[M - H2O + H]+	C20H41N2O+	0.482	0.333	72.373	66.136	6.237	13	0.948	5.975	5.975	-55362.774		325.321	355	5.916	836961205705700896	836961019935774647	836961019931580342	510	
1	C10H17BFNO2S	[M + H3N + H]+	C10H21BFN2O2S+	0.747	0.075	70.656	70.656	0.000	25	0.506	0.545	3.632	2.382		262.144	356	5.926	836961206146102880	836961020002883519	836961020002883518	512	
1	C17H30N6O4S	[M + H]+	C17H31N6O4S+	0.719	0.333	114.944	114.944	0.000	42	0.743	0.053	1.144	-1.772		415.211	357	5.942	836961218125036252	836961020057409475	836961020057409474	513	
1	C33H42O8	[M + H3N + H]+	C33H46NO8+	0.603	0.251	41.387	41.387	0.000	6	0.369	-0.099	0.599	0.592		584.322	357	5.953	836961218431220500	836961020095158215	836961020090963910	514	
1	C17H37NO2	[M + H]+	C17H38NO2+	0.842	0.500	41.455	37.544	3.911	8	0.665	5.560	5.560	-0.194		288.290	358	5.970	836961205789586983	836961020128712651	836961020128712650	515	
1	C15H34ClN2O2	[M + Na]+	C15H34ClN2NaO2+	1.000	1.000	111.142	111.142	0.000	32	0.726	0.724	2.566	-1.901		332.219	359	5.988	836961217323924148	836961020195821523	836961020195821522	517	
1	C11H20O3	[M - H2O + H]+	C11H19O2+	0.509	0.500	43.904	43.904	0.000	5	0.132	0.016	0.156	-98343.926		183.138	360	5.993	836961209459603405	836961020229375959	836961020229375958	518	
1	C16H31N4O3	[M - H2O + H]+	C16H30N4O2+	1.000	0.011	80.764	80.764	0.000	22	0.504	0.293	0.293	-58050.238		310.238	360	6.001	836961215100942868	836961020162267087	836961020162267086	516	
1	C16H35NO4	[M - H2O + H]+	C16H34NO3+	0.987	0.333	67.784	67.784	0.000	17	0.282	0.045	0.151	-62481.874		288.253	361	6.012	836961218305391371	836961020334233571	836961020334233570	521	
1	C18H28O2	[M + H3N + H]+	C18H32NO2+	1.000	0.333	226.378	222.475	3.903	46	0.773	1.001	1.303	-0.087		294.243	361	6.012	836961207299536588	836961020300679135	836961020300679134	520	
1	C18H30O3	[M + H3N + H]+	C18H34NO3+	1.000	0.333	139.341	135.488	3.852	30	0.663	2.005	2.509	-0.514		312.253	361	6.012	836961212840212711	836961020367788007	836961020367788006	522	
1	C16H29N7O2	[M - H2O + H]+	C16H28N7O+	0.800	0.077	5.130	1.963	3.167	0	0.000	0.458	0.458	-53885.572		334.235	361	6.012	836961208117425962	836961020405536747	836961020405536746	523	
1	C20H37NO3	[M + H3N + H]+	C20H41N2O3+	0.774	0.333	47.942	44.764	3.178	8	0.344	-1.007	3.605	-0.139		357.311	361	6.013	836961256247070494	836961020262930395	836961020262930394	519	
