#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
519	spectra_filtered.mgf	*..*		:3975	5202	-1	0	454.293	1	0.939712	0	0	5025040.0	708588.0	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf519	-1	GNPS-NIST14-MATCHES.mgf	0.134352				10	0	6.10352e-05	454.293	0	CCMSLIB00003139689
804	spectra_filtered.mgf	*..*		:1941	10236	-1	0	182.081	1	0.939682	0	0	3883160.0	195992.0	Tyrosine - 50.00 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf804	-1	GNPS-LIBRARY.mgf	1.00563				6	0	0.000183105	182.081	0	CCMSLIB00005885094
179	spectra_filtered.mgf	*..*		:1417	4614	-1	0	815.703	1	0.938568	0	0	287760.0	2803110.0	Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf179	-1	GNPS-NIST14-MATCHES.mgf	1358.68				6	0	1.10828	814.595	0	CCMSLIB00003139101
185	spectra_filtered.mgf	*..*		:2357	957	-1	0	815.7	1	0.937392	0	0	1473320.0	1171320.0	Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf185	-1	GNPS-NIST14-MATCHES.mgf	1068.28				8	0	0.871399	816.571	0	CCMSLIB00003135443
1045	spectra_filtered.mgf	*..*		:26	200	-1	0	146.165	1	0.936086	0	0	7332770.0	4327240.0	SPERMIDINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf1045	-1	GNPS-MSMLS.mgf	1.25273				6	0	0.000183105	146.165	0	CCMSLIB00005463951
72	spectra_filtered.mgf	*..*		:2109	3963	-1	0	135.117	1	0.934878	0	0	105344.0	3788980.0	Spectral Match to .alpha.-Pinene oxide from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf72	-1	GNPS-NIST14-MATCHES.mgf	269.564				6	0	0.0364227	135.081	0	CCMSLIB00003138450
240	spectra_filtered.mgf	*..*		:1417	4614	-1	0	815.703	1	0.932629	0	0	287760.0	1448340.0	Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf240	-1	GNPS-NIST14-MATCHES.mgf	1067.31				6	0	0.870605	816.574	0	CCMSLIB00003139101
961	spectra_filtered.mgf	*..*		:742	1188	-1	0	399.145	1	0.932285	0	0	1221940.0	763601.0	S-adenosylmethionine CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf961	-1	BERKELEY-LAB.mgf	1.29978				12	0	0.000518799	399.144	0	CCMSLIB00010103176
2	spectra_filtered.mgf	*..*		:26956	47937	-1	0	880.718	1	0.930164	0	0	292.247	2574300.0	Ubidecarenone [M+NH4]+	MONA	temp/spectra_filtered.mgf2	-1	MONA.mgf	0.693016				10	0	0.000610352	880.719	0	CCMSLIB00004720537
739	spectra_filtered.mgf	*..*		:2428	53552	-1	0	150.058	1	0.93	0	0	289.0	3748300.0	METHIONINE M+H	MONA	temp/spectra_filtered.mgf739	-1	MONA.mgf	2.44046				6	0	0.000366211	150.058	0	CCMSLIB00006682581
194	spectra_filtered.mgf	*..*		:3192	1670	-1	0	255.232	1	0.928285	0	0	243558.0	245761.0	Spectral Match to Palmitelaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf194	-1	GNPS-NIST14-MATCHES.mgf	3855.83				9	0	0.984131	254.248	0	CCMSLIB00003136157
651	spectra_filtered.mgf	*..*		:358	18821	-1	0	346.055	1	0.927193	0	0	111.872	620026.0	Guanosine cyclic monophosphate [M+H]+	MONA	temp/spectra_filtered.mgf651	-1	MONA.mgf	3057.98				6	0	1.05823	347.113	0	CCMSLIB00004691421
177	spectra_filtered.mgf	*..*		:5320	5320	-1	0	124.039	1	0.926344	0	0	561720000.0	3473090.0	Isonicotinic acid - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf177	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	7929.18				6	0	0.983528	123.055	0	CCMSLIB00006121621
350	spectra_filtered.mgf	*..*		:3076	124	-1	0	706.535	1	0.924445	0	0	1447430.0	887747.0	Spectral Match to 1-Palmitoyl-2-myristoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf350	-1	GNPS-NIST14-MATCHES.mgf	98.6535				7	0	0.0697021	706.465	0	CCMSLIB00003134610
355	spectra_filtered.mgf	*..*		:2483	2100	-1	0	732.553	1	0.923157	0	0	127845000.0	1100280.0	Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf355	-1	GNPS-NIST14-MATCHES.mgf	2604.78				7	0	1.90814	734.461	0	CCMSLIB00003136587
920	spectra_filtered.mgf	*..*		:3455	54579	-1	0	175.119	1	0.922771	0	0	226.4	753890.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf920	-1	MONA.mgf	5728.35				9	0	1.00314	176.122	0	CCMSLIB00006683608
641	spectra_filtered.mgf	*..*		:22516	22516	-1	0	196.064	1	0.921377	0	0	189.933	2541860.0	4432-31-9 M+H	MCE-DRUG	temp/spectra_filtered.mgf641	-1	MCE-DRUG.mgf	0.622604				6	0	0.00012207	196.064	0	CCMSLIB00010152240
712	spectra_filtered.mgf	*..*		:10249	10249	-1	0	415.111	1	0.921317	0	0	119.609	250438.0	LTURM34 [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf712	-1	MSNLIB-POSITIVE.mgf	242.09				6	0	0.100494	415.211	0	CCMSLIB00012284550
