CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
30	34	11	0.8484	18.011
30	35	11	0.788	16.015
30	39	11	0.927	-1.995
30	157	11	0.8447	-1.995
28	32	11	0.9153	-0.997
28	41	11	0.9388	30.952
28	49	11	0.9026	-1.999
28	149	11	0.8877	-0.997
27	32	11	0.811	18.011
32	36	11	0.8597	27.995
32	39	11	0.8027	23.016
32	41	11	0.9313	31.950
32	149	11	0.9371	0.000
32	157	11	0.8051	23.016
41	49	11	0.8039	-32.952
41	149	11	0.8979	-31.950
26	31	11	0.8797	30.953
26	34	11	0.8071	0.998
26	35	11	0.8207	-0.997
27	37	11	0.8622	-23.016
35	38	11	0.8451	27.995
24	35	11	0.9249	-9.984
24	148	11	0.9548	-9.984
35	77	11	0.7901	10.029
77	148	11	0.7967	-10.029
27	149	11	0.7849	18.011
36	149	11	0.8352	-27.995
149	157	11	0.7926	23.016
31	33	11	0.8166	-18.011
33	39	11	0.8775	-31.950
36	39	11	0.9204	-4.979
36	157	11	0.8567	-4.979
31	34	11	0.8152	-29.955
34	35	11	0.9512	-1.995
34	148	11	0.8947	-1.995
31	35	11	0.8486	-31.950
35	39	11	0.8148	-18.011
35	148	11	0.944	0.000
35	157	11	0.8152	-18.010
39	157	11	0.8336	0.000
31	148	11	0.7883	-31.950
27	130	11	0.7905	11.037
79	130	11	0.8101	1.008
27	79	11	0.8074	10.029
505	1027	12	0.7622	-100.089
509	1027	12	0.7112	-100.125
505	509	12	0.8924	0.036
311	373	13	0.7263	-58.042
325	602	14	0.9839	0.000
330	602	14	0.9914	0.000
345	602	14	0.9927	0.000
361	602	14	0.9889	0.000
330	665	14	0.7685	-11.964
325	361	14	0.9911	0.000
330	361	14	0.9868	0.000
345	361	14	0.9879	0.000
325	345	14	0.9831	0.000
330	345	14	0.9906	0.000
325	330	14	0.982	0.000
330	483	14	0.8421	-41.974
762	1007	15	0.7209	-264.246
1007	1021	15	0.7628	14.016
1007	1032	15	0.7067	0.000
1007	1036	15	0.7395	14.016
664	1036	15	0.8637	-292.277
720	1036	15	0.796	-278.261
750	1036	15	0.7719	-264.245
952	1036	15	0.7408	-82.115
1014	1036	15	0.7426	-26.016
1018	1036	15	0.731	14.016
1021	1036	15	0.8438	0.000
1032	1036	15	0.8214	14.016
1033	1036	15	0.7556	-26.016
664	750	15	0.8116	-28.031
720	750	15	0.8012	-14.016
733	750	15	0.7666	-26.016
750	762	15	0.7444	-14.016
750	1014	15	0.7012	-238.229
750	1021	15	0.7327	-264.245
901	1032	15	0.7275	14.015
1018	1032	15	0.7484	0.000
1021	1032	15	0.7815	-14.016
664	720	15	0.8719	-14.016
720	733	15	0.7778	12.000
720	749	15	0.7173	12.000
720	952	15	0.7012	-196.147
720	1014	15	0.7117	-252.245
720	1021	15	0.7897	-278.261
720	1033	15	0.7166	-252.245
664	749	15	0.7045	-2.016
749	1033	15	0.7057	-264.245
664	952	15	0.7059	-210.162
664	1014	15	0.7151	-266.261
664	1021	15	0.8887	-292.277
664	1033	15	0.7251	-266.261
664	1047	15	0.7019	-266.261
952	1021	15	0.728	-82.115
1014	1021	15	0.7543	-26.016
1021	1033	15	0.7551	26.016
1021	1047	15	0.747	26.016
1014	1033	15	0.737	-0.000
733	1047	15	0.7358	-264.245
1069	1119	16	0.7558	37.730
1069	1126	16	0.7212	37.730
1055	1119	16	0.703	-166.080
161	192	18	0.8532	15.995
161	170	18	0.7718	0.003
170	183	18	0.7536	-0.000
118	168	19	0.9349	15.995
101	168	19	0.9291	-13.006
153	160	19	0.9325	-0.000
127	230	19	0.934	-0.000
168	230	19	0.9475	-29.993
127	153	19	0.7553	105.029
127	168	19	0.9042	29.993
510	528	20	0.7748	86.109
528	536	20	0.7642	0.086
442	533	20	0.8491	-54.047
506	533	20	0.8436	-25.031
510	533	20	0.9127	-26.016
529	533	20	0.8511	-98.109
533	534	20	0.8394	70.078
533	535	20	0.8998	-18.011
510	511	20	0.9625	-18.011
511	535	20	0.8958	-26.016
510	669	20	0.808	-18.011
535	669	20	0.8382	26.016
529	530	20	0.8314	-14.016
442	510	20	0.9125	-28.031
506	510	20	0.9514	0.984
200	210	21	0.8833	0.000
9	214	22	0.9596	0.000
131	214	22	0.9998	0.000
214	365	22	0.9996	-0.000
214	421	22	0.9775	-0.000
214	447	22	0.9964	-0.000
214	481	22	0.999	-0.000
214	592	22	0.9785	0.000
9	481	22	0.9652	0.000
131	481	22	0.999	-0.000
365	481	22	0.9982	0.000
421	481	22	0.977	-0.000
447	481	22	0.9983	0.000
481	592	22	0.9816	0.000
9	592	22	0.9545	0.000
131	592	22	0.9799	0.000
365	592	22	0.9773	0.000
421	592	22	0.9575	0.000
447	592	22	0.9822	0.000
9	447	22	0.9738	-0.000
131	447	22	0.9961	-0.000
365	447	22	0.9946	-0.000
421	447	22	0.9764	-0.000
9	131	22	0.959	0.000
9	365	22	0.9562	0.000
9	421	22	0.9826	0.000
131	365	22	0.9997	-0.000
365	421	22	0.9773	0.000
131	421	22	0.9774	-0.000
757	1026	23	0.8933	-264.245
949	1026	23	0.8578	-82.115
982	1026	23	0.7787	-4.031
1026	1038	23	0.7542	-14.016
1026	1073	23	0.8688	-14.016
892	982	23	0.7647	-2.017
981	982	23	0.7455	-26.016
982	1038	23	0.7621	-18.047
982	1073	23	0.7982	-18.047
757	983	23	0.7985	-264.245
983	1038	23	0.7614	-14.016
983	1073	23	0.8059	-14.016
949	981	23	0.7921	-52.068
981	1038	23	0.7394	-44.062
981	1073	23	0.8051	-44.063
757	892	23	0.8301	-258.197
892	949	23	0.807	76.066
892	1038	23	0.7248	-20.064
892	1073	23	0.8372	-20.064
757	1073	23	0.8933	-278.261
949	1073	23	0.8504	-96.130
1038	1073	23	0.7818	-0.000
14	141	24	0.9387	-0.188
235	310	25	0.786	-352.210
266	310	25	0.7992	-281.185
290	310	25	0.771	-132.079
299	310	25	0.7566	-88.053
304	310	25	0.7453	-44.026
310	340	25	0.7223	-193.131
310	353	25	0.7136	-237.157
235	290	25	0.854	-220.131
266	290	25	0.8443	-149.106
290	299	25	0.7995	-44.026
290	304	25	0.7986	-88.053
266	299	25	0.8229	-193.132
299	304	25	0.79	-44.026
299	340	25	0.7003	-281.183
299	353	25	0.7046	-325.210
818	863	25	0.778	348.287
235	863	25	0.7673	-121.151
266	863	25	0.7231	-50.125
247	266	25	0.7114	-118.063
266	340	25	0.7003	-474.315
304	340	25	0.706	-237.157
340	353	25	0.8244	-44.026
235	266	25	0.9168	-71.026
266	304	25	0.8355	-237.158
266	353	25	0.7202	-518.341
304	353	25	0.705	-281.183
456	738	26	0.7896	-2.016
464	738	26	0.8669	-0.000
711	738	26	0.838	-0.000
738	739	26	0.7921	17.027
456	711	26	0.8171	-2.016
710	711	26	0.8165	-17.026
710	739	26	0.842	0.000
765	789	27	0.7054	-4.031
769	789	27	0.8498	-0.000
713	728	28	0.7272	0.000
728	737	28	0.7329	0.000
713	737	28	0.7712	0.000
821	1082	29	0.7453	63.962
1062	1082	29	0.7219	162.053
907	1037	29	0.7077	-24.000
821	1062	29	0.7117	-98.091
821	907	29	0.7613	21.984
600	605	30	0.7385	-365.092
605	607	30	0.8118	384.123
600	607	30	0.8698	19.031
319	335	33	0.7242	0.000
321	351	33	0.7569	-45.058
334	351	33	0.7608	-45.058
335	351	33	0.8697	0.000
336	351	33	0.78	-28.031
348	351	33	0.7687	-45.058
351	360	33	0.7719	45.058
351	362	33	0.708	-0.000
335	362	33	0.71	0.000
321	334	33	0.9672	-0.000
334	335	33	0.8237	-45.058
334	336	33	0.8729	-17.027
334	348	33	0.9958	0.000
334	360	33	0.9895	0.000
334	548	33	0.7249	18.011
334	595	33	0.8835	18.011
321	348	33	0.966	0.000
335	348	33	0.831	45.058
336	348	33	0.8775	17.027
348	360	33	0.9867	0.000
348	548	33	0.7196	18.011
348	595	33	0.8804	18.011
321	595	33	0.897	18.011
335	595	33	0.7242	63.068
336	595	33	0.7496	35.037
360	595	33	0.879	18.011
548	595	33	0.8425	-0.000
321	336	33	0.8406	-17.027
335	336	33	0.7924	28.031
336	360	33	0.874	17.027
321	335	33	0.8321	-45.058
321	360	33	0.9641	0.000
321	548	33	0.7404	18.011
360	548	33	0.7188	18.011
335	360	33	0.8294	45.058
11	43	34	0.8813	0.151
552	554	35	0.8263	17.026
552	649	35	0.7275	-2.016
647	649	35	0.7434	18.010
151	173	36	0.7307	-0.073
102	103	36	0.83	17.026
103	173	36	0.7066	25.971
206	209	37	0.7981	-17.027
877	904	40	0.8927	0.000
679	694	43	0.7064	0.000
476	1020	44	0.7474	-320.308
572	1020	44	0.7276	-292.277
959	1020	44	0.7334	-82.078
960	1020	44	0.9427	-56.063
971	1020	44	0.7114	-68.063
985	1020	44	0.7776	-54.047
988	1020	44	0.9519	-28.031
992	1020	44	0.956	-2.016
997	1020	44	0.84	-14.016
1008	1020	44	0.7146	12.000
960	997	44	0.8411	-42.047
988	997	44	0.8551	-14.016
992	997	44	0.8472	12.000
476	887	44	0.7745	-254.225
887	893	44	0.7451	44.026
887	902	44	0.7632	-0.000
887	950	44	0.7639	-28.031
887	959	44	0.7749	15.995
887	960	44	0.7856	-10.021
887	971	44	0.7305	1.979
476	902	44	0.7731	-254.225
893	902	44	0.747	-44.026
902	950	44	0.8005	-28.031
902	959	44	0.8638	15.995
902	960	44	0.8491	-10.020
902	971	44	0.7337	1.980
902	985	44	0.7488	-12.036
902	988	44	0.7088	-38.052
992	1008	44	0.8739	-14.016
572	950	44	0.7542	-254.225
950	985	44	0.8028	15.995
950	988	44	0.832	-10.021
476	960	44	0.8249	-264.246
893	960	44	0.8317	-54.047
959	960	44	0.9513	-26.016
960	985	44	0.8213	-2.016
960	988	44	0.957	-28.031
960	992	44	0.9232	-54.047
476	893	44	0.7671	-210.199
572	893	44	0.7	-182.167
893	959	44	0.7945	-28.031
893	971	44	0.8338	-42.047
893	985	44	0.7873	-56.063
476	572	44	0.777	-28.031
572	985	44	0.7624	-238.230
572	988	44	0.779	-264.246
476	959	44	0.8333	-238.230
959	971	44	0.809	-14.016
959	985	44	0.926	-28.031
959	988	44	0.7599	-54.047
959	992	44	0.7618	-80.063
476	992	44	0.756	-318.293
988	992	44	0.9439	-26.016
476	985	44	0.7874	-266.261
971	985	44	0.8054	-14.016
985	988	44	0.9483	-26.016
476	988	44	0.7529	-292.277
139	226	45	0.7409	-10.075
474	656	47	0.7438	0.000
154	174	50	0.9098	0.000
253	268	51	0.8898	0.000
324	347	52	0.9562	0.000
331	347	52	0.9597	0.000
347	363	52	0.9611	0.000
324	363	52	0.9575	0.000
331	363	52	0.9622	0.000
324	329	52	0.8335	18.011
324	331	52	0.9835	0.000
329	331	52	0.851	-18.011
418	419	53	0.9066	-18.011
520	803	56	0.7568	0.000
580	644	56	0.7796	0.001
