cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT
280	236.12568948688147	2.6827052	0	113595.39499999999	391721.6775	95882.665	225236.55	0	285586.21499999997	157450.485	150804.6375	232594.95	0	113595.39499999999	391721.6775	95882.665	225236.55
281	352.1866164797351	2.7114568	0	0.0	792717.45	0.0	0.0	0	271543.775	192791.5	205653.15	122729.025	0	0.0	792717.45	0.0	0.0
282	214.14381103453644	2.8047538	0	42180.855	165895.065	58935.59	129869.1175	0	154134.4175	89601.6225	58935.59	94208.9975	0	42180.855	165895.065	58935.59	129869.1175
283	188.12813322364792	2.8323905	0	1630199.4	3076550.2	1891084.8375000001	2414479.875	0	2798397.55	1790484.0125000002	2044491.325	2378941.425	0	1630199.4	3076550.2	1891084.8375000001	2414479.875
284	170.1175372442597	2.8323908	0	3889625.725	7748304.8	4662950.875	5885880.0	0	6764413.55	4454741.125	5150969.4	5816637.325	0	3889625.725	7748304.8	4662950.875	5885880.0
285	233.1859627531882	2.8323908	0	1134486.75	1672998.575	1014406.2375	1427897.225	0	1680693.025	1045298.4425	1132587.25	1391210.07	0	1134486.75	1672998.575	1014406.2375	1427897.225
286	210.11016050261784	2.8323905	0	1370321.665	2751870.15	1733157.775	2127965.935	0	2477454.3125	1581293.5875	1915801.025	2008766.6	0	1370321.665	2751870.15	1733157.775	2127965.935
287	124.11226314643646	2.831372	0	374005.5625	770530.89	444834.3075	606487.835	0	688806.8600000001	472592.0075	416677.375	617782.3525	0	374005.5625	770530.89	444834.3075	606487.835
288	142.12264288815246	2.8315487	0	411630.10250000004	870170.54	533490.3625	744533.855	0	785519.825	516234.31999999995	535318.855	722751.8600000001	0	411630.10250000004	870170.54	533490.3625	744533.855
289	236.12568578091657	2.8359025	0	99782.6625	410295.11	83010.61	194014.34000000003	0	264787.22000000003	153254.9075	147633.95500000002	221426.64	0	99782.6625	410295.11	83010.61	194014.34000000003
290	476.3067224916724	2.9129255	0	1021356.85	1019380.39	908897.1675	1036133.36	0	1074484.865	910903.5874999999	923394.5	1076984.815	0	1021356.85	1019380.39	908897.1675	1036133.36
291	244.15431758692512	2.9531271	0	126749.0325	293833.355	118549.265	218233.7825	0	256676.74	134671.14500000002	158784.635	207232.915	0	126749.0325	293833.355	118549.265	218233.7825
292	611.1610004177646	2.9739068	0	0.0	0.0	56640.5625	0.0	0	0.0	56640.5625	0.0	0.0	0	0.0	0.0	56640.5625	0.0
293	351.1550120081956	2.9990304	0	0.0	0.0	347322.6575	0.0	0	0.0	114124.595	0.0	233198.0625	0	0.0	0.0	347322.6575	0.0
294	212.1260909883862	3.0086617	0	250455.85249999998	386943.1175	268766.4425	321567.855	0	378165.2025	263371.015	303325.4275	282871.6225	0	250455.85249999998	386943.1175	268766.4425	321567.855
295	217.19114549287772	3.014574	0	1477253.875	1653363.675	1134673.45	1763303.275	0	1784479.925	1423020.125	1277871.875	1543222.35	0	1477253.875	1653363.675	1134673.45	1763303.275
