cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT	component	#Scan#	Compound_Name
933	399.238381553717	8.866507	0	0.0	918611.0375	0.0	0.0	0	213996.6875	110516.175	465571.05	128527.125	0	0.0	918611.0375	0.0	0.0	12		
934	275.20777563402703	8.872282	0	0.0	596541.2424999999	0.0	0.0	0	101201.2425	199928.75	164310.725	131100.525	0	0.0	596541.2424999999	0.0	0.0	14		
935	191.0766586307064	8.878335	0	182497.05	719379.09	258232.215	0.0	0	224167.96	299164.775	350584.835	286190.785	0	182497.05	719379.09	258232.215	0.0	-1		
936	263.0826188948096	8.874243	0	0.0	1014305.9525	76515.07	0.0	0	239909.6	314744.8825	315751.775	220414.765	0	0.0	1014305.9525	76515.07	0.0	-1		
937	147.11274069951207	8.881124	0	435798.795	4034798.8	688088.45	250193.7625	0	1173361.6	981297.61	2052205.99	1202014.6075	0	435798.795	4034798.8	688088.45	250193.7625	22		
938	202.1914099672316	8.888084	0	2177215.375	0.0	2738612.625	1297449.5125	0	1157669.6	1852992.1375	1455857.75	1746758.025	0	2177215.375	0.0	2738612.625	1297449.5125	2		
939	185.1649149534649	8.8933935	0	428953.64	0.0	491549.535	219045.4225	0	187723.2575	321998.33	291824.29000000004	338002.72	0	428953.64	0.0	491549.535	219045.4225	-1		
940	210.1577260593412	8.846317	0	2601273.625	0.0	2887121.55	1863836.165	0	2507245.875	1488503.7400000002	1986684.275	1369797.45	0	2601273.625	0.0	2887121.55	1863836.165	-1		
941	230.1862673146775	8.991472	0	390440.42	0.0	270126.03500000003	489142.0625	0	385821.31	208214.055	271503.16500000004	284169.9875	0	390440.42	0.0	270126.03500000003	489142.0625	-1		
942	208.08703163269607	9.000058	0	176939.28	0.0	63406.38	200220.28	0	254864.175	97179.625	0.0	88522.14	0	176939.28	0.0	63406.38	200220.28	18		
943	161.17825569784682	9.014498	0	63563.8	124797.9125	0.0	198450.28	0	66974.85	129789.475	66964.725	123082.9425	0	63563.8	124797.9125	0.0	198450.28	62		
944	1189.385840827862	9.027847	0	0.0	331191.85	0.0	0.0	0	78064.11	74342.6	89174.46	89610.68	0	0.0	331191.85	0.0	0.0	-1		
945	147.11274528047826	8.965403	0	0.0	2558401.225	400775.5425	0.0	0	708469.375	555436.45	944857.705	750413.2375	0	0.0	2558401.225	400775.5425	0.0	22		
946	301.18696140560644	9.02564	0	0.0	207826.8975	0.0	0.0	0	77680.9375	0.0	130145.96	0.0	0	0.0	207826.8975	0.0	0.0	-1		
947	573.214835966534	9.028271	0	0.0	4850193.25	0.0	0.0	0	1385582.375	807453.875	1310200.25	1346956.75	0	0.0	4850193.25	0.0	0.0	33		
948	1145.9235609520877	9.027874	0	0.0	814710.585	0.0	0.0	0	224213.475	103215.86	286704.475	200576.775	0	0.0	814710.585	0.0	0.0	21		
949	1146.4250438029546	9.030185	0	0.0	3433189.425	0.0	0.0	0	899450.5	520673.75	1141086.375	871978.8	0	0.0	3433189.425	0.0	0.0	21		
950	1147.4276633061274	9.030844	0	0.0	1111772.84	0.0	0.0	0	295551.9	171727.89	359936.05	284557.0	0	0.0	1111772.84	0.0	0.0	21		
951	1167.4037987615911	9.030844	0	0.0	1593069.775	0.0	0.0	0	383699.05	259218.4	532241.625	417910.7	0	0.0	1593069.775	0.0	0.0	57		
952	1156.9142374593978	9.030826	0	0.0	670005.27	0.0	0.0	0	182374.1	94341.695	229335.5	163953.975	0	0.0	670005.27	0.0	0.0	114		
953	1145.4220847995227	9.031975	0	0.0	6467633.075	0.0	0.0	0	1686889.375	1002625.7	2137572.0	1640546.0	0	0.0	6467633.075	0.0	0.0	21		
954	1156.4128629309232	9.030826	0	0.0	645666.5449999999	0.0	0.0	0	166257.61	98883.735	217661.05	162864.15	0	0.0	645666.5449999999	0.0	0.0	114		
955	218.18634340143103	9.065121	0	361180.215	0.0	1391760.6725	0.0	0	82185.5625	1127142.925	251216.25	292396.15	0	361180.215	0.0	1391760.6725	0.0	2		
956	275.20777384003725	9.076345	0	0.0	644113.8975	387884.125	0.0	0	113642.525	344051.16	141435.0625	432869.275	0	0.0	644113.8975	387884.125	0.0	14		
957	196.14206009955595	9.140022	0	2141154.225	0.0	1801623.025	1642077.335	0	2186546.05	925439.685	1412061.0	1060807.85	0	2141154.225	0.0	1801623.025	1642077.335	-1		
958	174.16011046606866	9.12087	0	3039617.85	666388.69	3039735.625	2625915.925	0	2699848.44	1898458.3	2287797.925	2485553.425	0	3039617.85	666388.69	3039735.625	2625915.925	2		
959	263.0826197926344	9.090069	0	68839.03	489464.30500000005	688666.4099999999	0.0	0	87581.9	507329.865	314088.465	337969.515	0	68839.03	489464.30500000005	688666.4099999999	0.0	-1		
960	133.09722899267234	9.1064	0	650479.9925	1877716.075	1297091.265	0.0	0	543075.29	1108985.1125	1223969.465	949257.465	0	650479.9925	1877716.075	1297091.265	0.0	-1		
961	399.1444662080633	9.107709	0	185807.045	0.0	846562.05	0.0	0	0.0	626487.31	121903.585	283978.2	0	185807.045	0.0	846562.05	0.0	-1	961.0	S-adenosylmethionine CollisionEnergy:102040
962	331.1317640525192	9.102343	0	0.0	77550.825	273527.75	0.0	0	0.0	132984.765	77550.825	140542.985	0	0.0	77550.825	273527.75	0.0	-1		
963	177.0610133543416	9.115021	0	529123.195	495884.11	575901.7	52195.57	0	237002.6875	468785.135	421549.3175	525767.4349999999	0	529123.195	495884.11	575901.7	52195.57	-1		
964	188.1757415628853	9.187506	0	18305020.75	874179.125	20400428.0	13958874.125	0	13245095.775	12182832.5	13156370.75	14954202.975	0	18305020.75	874179.125	20400428.0	13958874.125	2		
965	157.13370536460025	9.109168	0	737772.39	257652.8275	749321.5	633727.51	0	690164.855	485416.8875	577621.8775	625270.6075	0	737772.39	257652.8275	749321.5	633727.51	2		
966	1074.3850494779972	9.121488	0	0.0	266192.805	0.0	0.0	0	97189.4	0.0	97657.93	71345.475	0	0.0	266192.805	0.0	0.0	21		
967	156.14963153510834	9.148984	0	566137.72	0.0	558687.725	485053.225	0	474959.9	312171.71	386217.87	436529.19000000006	0	566137.72	0.0	558687.725	485053.225	2		
